recorder Number of inactive agents
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total inactive agents","red inactive agents","yellow inactive agents","blue inactive agents","cyan inactive agents","green inactive agents"
402.0,60.0,1.0,4.0,15.0,40.0,0.0
403.0,60.0,1.0,4.0,15.0,40.0,0.0
404.0,60.0,1.0,4.0,15.0,40.0,0.0
405.0,60.0,1.0,4.0,15.0,40.0,0.0
406.0,60.0,1.0,4.0,15.0,40.0,0.0
407.0,60.0,1.0,4.0,15.0,40.0,0.0
408.0,60.0,1.0,4.0,15.0,40.0,0.0
409.0,60.0,1.0,4.0,15.0,40.0,0.0
410.0,60.0,1.0,4.0,15.0,40.0,0.0
411.0,60.0,1.0,4.0,15.0,40.0,0.0
412.0,60.0,1.0,4.0,15.0,40.0,0.0
413.0,60.0,1.0,4.0,15.0,40.0,0.0
414.0,60.0,1.0,4.0,15.0,40.0,0.0
415.0,60.0,1.0,4.0,15.0,40.0,0.0
416.0,60.0,1.0,4.0,15.0,40.0,0.0
417.0,60.0,1.0,4.0,15.0,40.0,0.0
418.0,60.0,1.0,4.0,15.0,40.0,0.0
419.0,60.0,1.0,4.0,15.0,40.0,0.0
420.0,60.0,1.0,4.0,15.0,40.0,0.0
421.0,60.0,1.0,4.0,15.0,40.0,0.0
422.0,60.0,1.0,4.0,15.0,40.0,0.0
423.0,60.0,1.0,4.0,15.0,40.0,0.0
424.0,60.0,1.0,4.0,15.0,40.0,0.0
425.0,60.0,1.0,4.0,15.0,40.0,0.0
426.0,60.0,1.0,4.0,15.0,40.0,0.0
427.0,60.0,1.0,4.0,15.0,40.0,0.0
428.0,60.0,1.0,4.0,15.0,40.0,0.0
429.0,60.0,1.0,4.0,15.0,40.0,0.0
430.0,60.0,1.0,4.0,15.0,40.0,0.0
431.0,60.0,1.0,4.0,15.0,40.0,0.0
432.0,62.0,1.0,5.0,16.0,40.0,0.0
433.0,62.0,1.0,5.0,16.0,40.0,0.0
434.0,62.0,1.0,5.0,16.0,40.0,0.0
435.0,62.0,1.0,5.0,16.0,40.0,0.0
436.0,62.0,1.0,5.0,16.0,40.0,0.0
437.0,62.0,1.0,5.0,16.0,40.0,0.0
438.0,62.0,1.0,5.0,16.0,40.0,0.0
439.0,62.0,1.0,5.0,16.0,40.0,0.0
440.0,62.0,1.0,5.0,16.0,40.0,0.0
441.0,62.0,1.0,5.0,16.0,40.0,0.0
442.0,62.0,1.0,5.0,16.0,40.0,0.0
443.0,62.0,1.0,5.0,16.0,40.0,0.0
444.0,62.0,1.0,5.0,16.0,40.0,0.0
445.0,62.0,1.0,5.0,16.0,40.0,0.0
446.0,62.0,1.0,5.0,16.0,40.0,0.0
447.0,62.0,1.0,5.0,16.0,40.0,0.0
448.0,62.0,1.0,5.0,16.0,40.0,0.0
449.0,62.0,1.0,5.0,16.0,40.0,0.0
450.0,63.0,1.0,6.0,16.0,40.0,0.0
451.0,63.0,1.0,6.0,16.0,40.0,0.0
452.0,63.0,1.0,6.0,16.0,40.0,0.0
453.0,63.0,1.0,6.0,16.0,40.0,0.0
